"","cpa","total_homes","homes_after_1998","share_after_1998","homes_after_1968","share_after_1968","total_bldgs","avg_bldg_age","avg_bldg_size","sf_bldgs","sf_share","mf_share","five_plus_bldgs","ten_plus_bldgs","fifty_plus_bldgs","five_plus_share","ten_plus_share","fifty_plus_share","share_of_nhood_homes"
"1","Wilshire",129031,12172,0.0943339197557176,36740,0.284737776193318,32568,65.6991858440397,3.96189511176615,21149,0.163906348086894,0.836093651913106,90086,73512,31090,0.698173307189745,0.569723554804659,0.24094984926103,0.0920575556814404
"2","Hollywood",104063,7735,0.074329973189318,28570,0.274545227410319,29999,65.1121052784475,3.46888229607654,21739,0.208902299568531,0.791097700431469,71127,57738,20259,0.683499418621412,0.554836973756282,0.194680145680982,0.0742440608603958
"3","South Los Angeles",82006,3654,0.0445577152891252,9347,0.113979464917201,38217,84.4941576984948,2.14579898997828,24589,0.299843913859961,0.700156086140039,28457,18496,4206,0.347011194302856,0.225544472355681,0.051288930078287,0.0585074277593152
"4","Northeast Los Angeles",75432,3322,0.0440396648637183,15241,0.202049528051755,44588,75.4528419987215,1.69175562931731,34783,0.461117297698589,0.538882702301411,20522,13906,4311,0.272059603351363,0.184351468872627,0.0571508113267579,0.0538171876538383
"5","Canoga Park - Winnetka - Woodland Hills - West Hills",66604,6201,0.0931025163653835,29770,0.446970151942826,45542,48.4447547407774,1.46247419963989,44617,0.669884691610114,0.330115308389886,21072,20228,12807,0.316377394751066,0.303705483154165,0.192285748603687,0.04751882445774
"6","West Adams - Baldwin Hills - Leimert",65487,1442,0.0220196374853024,3272,0.0499641150151939,31137,77.5546907530188,2.10318913190095,22582,0.3448317986776,0.6551682013224,26420,16165,2496,0.40343885045887,0.246842884847374,0.0381144349260158,0.0467218974425563
"7","Southeast Los Angeles",64582,6755,0.104595707782354,11596,0.179554674677155,33212,80.9889361966622,1.94453811875226,19063,0.295175126196154,0.704824873803846,14212,8160,2983,0.22006131739494,0.126350995633458,0.0461893406831625,0.0460762224660646
"8","Van Nuys - North Sherman Oaks",61094,4597,0.075244704881003,24921,0.407912397289423,25948,52.4086635491016,2.35447818714352,22900,0.374832225750483,0.625167774249517,34924,29121,9602,0.571643696598684,0.476658919042787,0.157167643303761,0.0435876983577739
"9","North Hollywood - Valley Village",57721,7213,0.124963184976005,22558,0.390810970010915,22249,52.4445183887916,2.59431884579082,18219,0.315639022192963,0.684360977807037,34228,26134,8065,0.592990419431403,0.45276415862511,0.139723844008247,0.0411812213459434
"10","Palms - Mar Vista - Del Rey",51360,4791,0.0932827102803738,21115,0.411117601246106,21567,52.8470066085324,2.38141605230213,18398,0.358216510903427,0.641783489096573,29576,21720,7373,0.575856697819315,0.422897196261682,0.143555295950156,0.0366429467321712
"11","Sherman Oaks - Studio City - Toluca Lake - Cahuenga Pass",42421,5323,0.125480304566135,19944,0.47014450390137,24218,50.2094774868368,1.75163101825089,22644,0.533792225548667,0.466207774451333,18198,15141,4247,0.428985643902784,0.3569222790599,0.100115508828175,0.0302653902516634
"12","Westlake",40025,6071,0.151680199875078,14288,0.356976889444097,5061,66.8334996035096,7.90851610353685,2542,0.0635103060587133,0.936489693941287,34290,31040,13410,0.856714553404122,0.775515302935665,0.335040599625234,0.0285559568332389
"13","Mission Hills - Panorama City - North Hills",39619,2620,0.0661298871753452,16383,0.413513718165527,22494,51.2053172419017,1.76131412821197,21473,0.541987430273354,0.458012569726646,17192,16238,5900,0.433933213862036,0.409853857997425,0.148918448219289,0.0282662949100835
"14","West Los Angeles",38890,5199,0.133684751864232,16629,0.427590640267421,19938,51.7356336682249,1.95054669475374,17662,0.454152738493186,0.545847261506814,19063,12401,3090,0.490177423502186,0.318873746464387,0.0794548727179223,0.0277461876638266
"15","Chatsworth - Porter Ranch",35518,5593,0.15746945210879,23402,0.658877189030914,25970,42.0976969423954,1.36765498652291,25710,0.723858325356157,0.276141674643843,9613,9484,6752,0.270651500647559,0.267019539388479,0.190100793963624,0.0253404241050089
"16","Reseda - West Van Nuys",35244,1918,0.0544206106003859,12044,0.341731926001589,24057,55.3729429122688,1.46502057613169,23341,0.662268754965384,0.337731245034616,11064,10482,5416,0.313925774599932,0.297412325502213,0.153671546929974,0.0251449379795296
"17","Encino - Tarzana",31369,1893,0.0603462016640632,14130,0.450444706557429,23405,51.159552424368,1.34026917325358,23105,0.736555197806752,0.263444802193248,8075,7927,4459,0.257419745608722,0.252701711881157,0.142146705346042,0.0223803075553247
"18","San Pedro",30008,1057,0.0352239402825913,10947,0.36480271927486,17971,63.3220197570418,1.66980134661399,14460,0.481871500933085,0.518128499066915,7267,4656,1784,0.242168754998667,0.155158624366836,0.0594508131165023,0.0214092980050427
"19","Silver Lake - Echo Park - Elysian Valley",29956,1673,0.0558485779142743,4735,0.158065162237949,13726,80.0862549065656,2.18242750983535,8520,0.284417145146214,0.715582854853785,10664,5949,1331,0.355988783549205,0.198591267191881,0.0444318333555882,0.0213721984483824
"20","Brentwood - Pacific Palisades",26942,2925,0.108566550367456,10638,0.394848192413332,19790,52.6949014074047,1.36139464375947,19145,0.710600549328187,0.289399450671813,7294,5652,1702,0.270729715685547,0.209783980402346,0.0631727414445847,0.0192218510681105
"21","Westchester - Playa del Rey",26089,6969,0.26712407528077,12252,0.469623212848327,16876,47.3524609015639,1.54592320455084,15580,0.597186553719959,0.402813446280041,8148,6729,4693,0.312315535283069,0.257924795890989,0.179884242401012,0.0186132756482791
"22","Central City",25888,12806,0.49466934487021,16910,0.653198393077874,5901,41.2359394313968,4.38705304185731,5757,0.222381025957973,0.777618974042027,20119,20095,19013,0.77715543881335,0.776228368355995,0.734432941903585,0.0184698715927268
"23","Northridge",23262,1075,0.0462127074198263,9483,0.407660562290431,14720,49.8312805220623,1.58029891304348,14315,0.61538130857192,0.38461869142808,8627,8044,4153,0.370862350614736,0.345800017195426,0.178531510618176,0.0165963439813817
"24","Sun Valley - La Tuna Canyon",23128,1094,0.0473019716361121,6846,0.296004842615012,16113,57.6972750865052,1.43536275057407,15347,0.663567969560706,0.336432030439294,6498,5773,3272,0.280958145970252,0.24961086129367,0.14147353856797,0.0165007412776802
"25","Wilmington - Harbor City",22068,1367,0.0619448975892695,7959,0.360657966286025,11950,60.2426602756141,1.84669456066946,9681,0.438689505165851,0.561310494834149,7999,5756,2470,0.362470545586369,0.260830161319558,0.111926771796266,0.0157444810842203
"26","Sunland - Tujunga - Lake View Terrace - Shadow Hills - East La Tuna Canyon",21487,1482,0.0689719365197561,7201,0.335132871038302,16566,56.2199618267306,1.29705420741277,15682,0.729836645413506,0.270163354586494,4200,3643,963,0.195467026574208,0.169544375669009,0.0448177968073719,0.0153299648838427
"27","Venice",20998,2729,0.129964758548433,7924,0.37736927326412,10732,61.8627310502937,1.95657845695117,8002,0.381083912753596,0.618916087246404,7303,5565,1894,0.347795028097914,0.265025240499095,0.0901990665777693,0.0149810863606334
"28","Boyle Heights",20996,975,0.0464374166507906,2413,0.114926652695752,8344,88.9292590641314,2.51629913710451,3872,0.184416079253191,0.815583920746809,7705,4837,2268,0.366974661840351,0.230377214707563,0.108020575347685,0.014979659454608
"29","Westwood",20886,1628,0.0779469501101216,11029,0.528057071722685,10775,51.4799291051926,1.93837587006961,10005,0.479029014650962,0.520970985349038,10005,8407,4181,0.479029014650962,0.402518433400364,0.20018194005554,0.0149011796232112
"30","Sylmar",20605,3357,0.162921620965785,10540,0.511526328561029,15967,46.433626170946,1.2904741028371,15464,0.750497452074739,0.249502547925261,4313,4103,2460,0.209318126668284,0.199126425624848,0.119388497937394,0.014700699326643
"31","Granada Hills - Knollwood",20388,695,0.0340886796154601,5635,0.276388071414558,16909,54.918138120463,1.20574841800225,16633,0.815823033156759,0.184176966843241,3296,3195,2027,0.161663723759074,0.15670982931136,0.0994212281734353,0.0145458800228876
"32","Arleta - Pacoima",19635,734,0.0373822256175197,4282,0.21807995925643,15896,59.2990578049402,1.23521640664318,15318,0.780137509549274,0.219862490450726,3256,3108,2267,0.165826330532213,0.158288770053476,0.11545709192768,0.014008649904326
"33","Harbor Gateway",12464,649,0.0520699614890886,3366,0.270057766367137,6554,57.4487354476114,1.90173939578883,5328,0.427471116816431,0.572528883183569,4836,3335,815,0.387997432605905,0.267570603337612,0.0653883183568678,0.00889247835026833
"34","Bel Air - Beverly Crest",8893,626,0.0703924434948836,3199,0.359721128977848,8578,55.5055661756438,1.03672184658429,8509,0.956819970763522,0.0431800292364781,271,184,0,0.030473406049702,0.0206904306758124,0,0.00634473764192364
"35","Central City North",6112,2076,0.339659685863874,3960,0.647905759162304,2079,44.8694708729761,2.93987493987494,1708,0.279450261780105,0.720549738219895,3904,3096,2179,0.638743455497382,0.506544502617801,0.356511780104712,0.0043606248136104
"36","Los Angeles International Airport",1339,0,0,1058,0.790141896938013,131,39.6796116504854,10.2213740458015,45,0.0336071695294996,0.9663928304705,1262,915,504,0.942494398805078,0.683345780433159,0.376400298730396,0.000955313584002671
"37",NA,24,0,0,23,0.958333333333333,24,33.9166666666667,1,24,1,0,0,0,0,0,0,0,1.71228723047529e-05
