permit_number,case_number,unique_id,type,duplicate,address,zip,application_date,permitted,permit_date,application_quarter,permit_quarter,tier,lat,long,eli,vli,li,uncat,total_affordable,market_rate,units,building_size,pct_affordable,affordability,orig_order
15010-10003-03531,,15010-10003-03531,by-right,No,4121 W SANTA MONICA BLVD,90029,,Yes,08/23/2018,,,,34.09205,-118.28241,5,0,0,0,5,36,41,020-049 units,0.12,10-19%,48
16010-10000-05000,,16010-10000-05000,by-right,No,5050 W PICO BLVD,90019,,No,N/A,,,,34.04771,-118.34793,8,0,0,0,8,71,79,050-099 units,0.10,10-19%,1
16010-10000-05342,,16010-10000-05342,by-right,No,1053 S FEDORA ST 1-40,90006,,No,N/A,,,,34.05119,-118.29810,0,5,0,0,5,35,40,020-049 units,0.13,10-19%,2
17010-10000-00027,,17010-10000-00027,by-right,No,5460 W FOUNTAIN AVE,90029,,Yes,01/16/2019,,,,34.09468,-118.30875,0,0,0,0,0,49,49,020-049 units,0.00,N/A,3
17010-10000-02540,,17010-10000-02540,by-right,No,8750 S VERMONT AVE,90044,,Yes,03/29/2018,,,,33.95806,-118.29136,0,0,20,0,20,1,21,020-049 units,0.95,90+%,8
17010-10000-02542,,17010-10000-02542,by-right,No,957 W 88TH ST 1-41,90044,,Yes,03/29/2018,,,,33.95808,-118.29055,0,0,40,0,40,1,41,020-049 units,0.98,90+%,9
17010-10000-02557,,17010-10000-02557,by-right,No,723 S ST ANDREWS PL,90005,,Yes,05/21/2019,,,,34.05882,-118.31130,0,0,0,0,0,65,65,050-099 units,0.00,N/A,7
17010-10000-04195,,17010-10000-04195,by-right,No,1180 S LA BREA AVE,90019,,No,N/A,,,,34.05385,-118.34333,0,6,0,0,6,61,67,050-099 units,0.09,<10%,12
17010-10000-04353,,17010-10000-04353,by-right,No,2465 Purdue Ave,90064,,No,N/A,,,,34.03262,-118.43944,0,0,0,0,0,17,17,010-019 units,0.00,N/A,14
17010-10000-04508,,17010-10000-04508,by-right,No,3741 S MOTOR AVE,90034,,Yes,02/13/2019,,,,34.02157,-118.40525,0,3,0,0,3,27,30,020-049 units,0.10,10-19%,15
17010-10000-04994,,17010-10000-04994,by-right,No,428 S ROBERTSON BLVD 1-37,90048,,Yes,07/12/2018,,,,34.07128,-118.38361,3,0,0,0,3,34,37,020-049 units,0.08,<10%,16
17010-10000-05023,,17010-10000-05023,by-right,No,8721 S BROADWAY,90003,,No,N/A,,,,33.95809,-118.27843,0,0,0,60,60,0,60,050-099 units,1.00,90+%,19
17010-10000-05024,,17010-10000-05024,by-right,No,321 W 88TH ST,90003,,No,N/A,,,,33.95745,-118.27914,0,0,0,6,6,0,6,005-009 units,1.00,90+%,18
17010-10000-05025,,17010-10000-05025,by-right,No,321 W 88TH ST B,90003,,No,N/A,,,,33.95745,-118.27914,0,0,0,7,7,0,7,005-009 units,1.00,90+%,20
17010-10000-05027,,17010-10000-05027,by-right,No,321 W 88TH ST C,90003,,No,N/A,,,,33.95745,-118.27914,0,0,0,5,5,0,5,005-009 units,1.00,90+%,21
17010-10000-05028,,17010-10000-05028,by-right,No,321 W 88TH ST CR,90003,,No,N/A,,,,33.95745,-118.27914,0,0,0,5,5,0,5,005-009 units,1.00,90+%,22
17010-10000-05029,,17010-10000-05029,by-right,No,321 W 88TH ST C1.5,90003,,No,N/A,,,,33.95745,-118.27914,0,0,0,5,5,0,5,005-009 units,1.00,90+%,23
17010-10000-05030,,17010-10000-05030,by-right,No,321 W 88TH ST CR1,90003,,No,N/A,,,,33.95745,-118.27914,0,0,0,5,5,0,5,005-009 units,1.00,90+%,24
17010-10000-05031,,17010-10000-05031,by-right,No,321 W 88TH ST BR,90003,,No,N/A,,,,33.95745,-118.27914,0,0,0,7,7,0,7,005-009 units,1.00,90+%,25
17010-10000-05032,,17010-10000-05032,by-right,No,321 W 88TH ST AR,90003,,No,N/A,,,,33.95745,-118.27914,0,0,0,6,6,0,6,005-009 units,1.00,90+%,26
17010-10002-01522,,17010-10002-01522,by-right,No,5335 W ADAMS BLVD 1-60,90016,,Yes,10/31/2018,,,,34.03265,-118.35663,0,7,0,0,7,11,18,010-019 units,0.39,30-40%,55
17010-20000-00222,,17010-20000-00222,by-right,No,8548 N RESEDA BLVD,91324,,No,N/A,,,,34.22606,-118.53587,0,5,0,0,5,34,39,020-049 units,0.13,10-19%,4
17010-20000-03549,,17010-20000-03549,by-right,No,8867 Alcott St,90035,,No,N/A,,,,34.05422,-118.38609,2,0,0,0,2,15,17,010-019 units,0.12,10-19%,10
17010-20000-04073,,17010-20000-04073,by-right,No,166 S ALVARADO ST,90057,10/24/17,Yes,12/28/2018,,,,34.06490,-118.27125,7,4,72,0,83,1,84,050-099 units,0.99,90+%,11
17010-20000-04274,,17010-20000-04274,by-right,No,1015 E VENICE BLVD,90291,,No,N/A,,,,33.99440,-118.45258,0,0,0,0,0,56,56,050-099 units,0.00,N/A,13
17010-20000-05001,,17010-20000-05001,by-right,No,10400 W SANTA MONICA BLVD,90025,12/20/17,No,N/A,,,Tier 3,34.05702,-118.42411,0,0,0,0,0,121,121,100-199 units,0.00,N/A,17
17010-20000-05064,,17010-20000-05064,by-right,No,226 N LAKE ST,90026,,Yes,12/19/2018,,,,34.06878,-118.27010,0,5,0,0,5,31,36,020-049 units,0.14,10-19%,27
17010-30000-01077,,17010-30000-01077,by-right,No,6211 S VERMONT AVE #1-15,90044,,Yes,08/22/2018,,,,33.98280,-118.29168,0,0,15,0,15,0,15,010-019 units,1.00,90+%,6
17010-70000-00628,,17010-70000-00628,by-right,No,121 S BREED ST 1-9,90033,,No,N/A,,,,34.04368,-118.21159,0,1,0,0,1,8,9,005-009 units,0.11,10-19%,5
17010-70000-05112,,17010-70000-05112,by-right,No,1839 S GRAMERCY PL,90019,,No,N/A,,,,34.04053,-118.31325,0,0,0,0,0,7,7,005-009 units,0.00,N/A,28
18010-10000-00228,,18010-10000-00228,by-right,No,132 N ROSEMONT AVE,90026,,No,N/A,,,,34.06864,-118.27209,0,2,0,0,2,12,14,010-019 units,0.14,10-19%,32
18010-10000-00377,,18010-10000-00377,by-right,No,837 S FEDORA ST,90005,,No,N/A,,,,34.05665,-118.29780,0,7,0,0,7,68,75,050-099 units,0.09,<10%,36
18010-10000-00378,,18010-10000-00378,by-right,No,840 S MARIPOSA AVE,90005,,No,N/A,,,,34.05651,-118.29857,0,7,0,0,7,91,98,050-099 units,0.07,<10%,37
18010-10000-00427,,18010-10000-00427,by-right,No,1332 W COLORADO BLVD,90041,,No,N/A,,,,34.13910,-118.19419,3,0,0,0,3,28,31,020-049 units,0.10,10-19%,34
18010-10000-00801,,18010-10000-00801,by-right,No,4604 S WESTERN AVE,90062,,No,N/A,,,,34.00167,-118.30875,0,0,48,0,48,1,49,020-049 units,0.98,90+%,56
18010-10000-00890,,18010-10000-00890,by-right,No,950 S BERENDO ST,90006,,No,N/A,,,,34.05416,-118.29358,8,0,0,0,8,69,77,050-099 units,0.10,10-19%,39
18010-10000-00910,,18010-10000-00910,by-right,No,410 E FLORENCE AVE,90003,,Yes,01/18/2019,,,,33.97456,-118.26709,50,0,0,0,50,1,51,050-099 units,0.98,90+%,41
18010-10000-01046,,18010-10000-01046,by-right,No,924 S CATALINA ST,90006,,Yes,05/03/2019,,,,34.05498,-118.29523,0,0,0,0,0,30,30,020-049 units,0.00,N/A,42
18010-10000-01056,,18010-10000-01056,by-right,No,2602 S ORANGE DR,90016,,Yes,01/30/2019,,,,34.03224,-118.35330,0,3,0,0,3,22,25,020-049 units,0.12,10-19%,49
18010-10000-01153,,18010-10000-01153,by-right,No,5801 W PICO BLVD,90019,,No,N/A,,,,34.05130,-118.36467,7,0,0,0,7,73,80,050-099 units,0.09,<10%,43
18010-10000-01200,,18010-10000-01200,by-right,No,1950 S NORMANDIE AVE,90007,,No,N/A,,,,34.03871,-118.30013,0,2,0,0,2,11,13,010-019 units,0.15,10-19%,44
18010-10000-01300,,18010-10000-01300,by-right,No,12335 W OSBORNE PL,91331,,No,N/A,,,,34.26000,-118.40179,0,0,0,0,0,16,16,010-019 units,0.00,N/A,47
18010-10000-01669,,18010-10000-01669,by-right,No,602 S WESTLAKE AVE,90057,,No,N/A,,,,34.05886,-118.27354,7,0,0,0,7,56,63,050-099 units,0.11,10-19%,50
18010-10000-01769,,18010-10000-01769,by-right,No,336-350 W 7TH ST,90731,,No,N/A,,,,33.73798,-118.28464,3,0,0,0,3,29,32,020-049 units,0.09,<10%,65
18010-10000-01856,,18010-10000-01856,by-right,No,4800 S AVALON BLVD,90011,,Yes,01/17/2019,,,,33.99959,-118.26504,3,0,0,0,3,30,33,020-049 units,0.09,<10%,53
18010-10000-02079,,18010-10000-02079,by-right,No,4000 W 6TH ST,90020,,No,N/A,,,,34.06338,-118.31064,8,0,0,0,8,43,51,050-099 units,0.16,10-19%,57
18010-10000-02328,,18010-10000-02328,by-right,No,5301 Sierra Vista Ave,90029,,No,N/A,,,,34.09003,-118.30673,5,0,0,0,5,40,45,020-049 units,0.11,10-19%,73
18010-10000-02508,,18010-10000-02508,by-right,No,807 N HARVARD BLVD,90029,,No,N/A,,,,34.08497,-118.30407,0,0,0,0,0,17,17,010-019 units,0.00,N/A,60
18010-10000-02991,,18010-10000-02991,by-right,No,11668 DARLINGTON AVE,90049,,No,N/A,,,,34.05304,-118.46343,0,0,0,0,0,17,17,010-019 units,0.00,N/A,67
18010-10000-03058,,18010-10000-03058,by-right,No,10981 W COVENTRY PL,90064,,No,N/A,,,,34.02902,-118.42518,0,0,0,0,0,14,14,010-019 units,0.00,N/A,68
18010-10000-03096,,18010-10000-03096,by-right,No,348 S BERENDO ST,90020,,No,N/A,,,,34.06769,-118.29398,4,0,0,0,4,52,56,050-099 units,0.07,<10%,69
18010-10000-03175,,18010-10000-03175,by-right,No,1300 S WESTWOOD BLVD,90024,,No,N/A,,,,34.05684,-118.44247,4,0,0,0,4,29,33,020-049 units,0.12,10-19%,85
18010-10000-03263,,18010-10000-03263,by-right,No,366 Loma Dr,90017,,No,N/A,,,,34.05902,-118.26623,4,0,0,0,4,35,39,020-049 units,0.10,10-19%,88
18010-10000-03330,,18010-10000-03330,by-right,No,700 N SPAULDING AVE,90046,,No,N/A,,,,34.08357,-118.35737,2,0,0,0,2,22,24,020-049 units,0.08,<10%,74
18010-10000-03490,,18010-10000-03490,by-right,No,941 N MARTEL AVE,90046,,No,N/A,,,,34.08823,-118.35125,0,2,0,0,2,12,14,010-019 units,0.14,10-19%,76
18010-10000-03514,,18010-10000-03514,by-right,No,503 S WESTLAKE AVE,90057,,No,N/A,,,,34.05970,-118.27350,4,0,0,0,4,32,36,020-049 units,0.11,10-19%,78
18010-10000-03620,,18010-10000-03620,by-right,No,329 S BONNIE BRAE ST,90057,,No,N/A,,,,34.06114,-118.27086,0,6,0,0,6,24,30,020-049 units,0.20,20-29%,80
18010-10000-03646,,18010-10000-03646,by-right,No,1550 Pleasant Ave,90033,,No,N/A,,,,34.04838,-118.22094,0,0,0,0,0,34,34,020-049 units,0.00,N/A,81
18010-10000-03680,,18010-10000-03680,by-right,No,856 S GRAMERCY DR,90005,,No,N/A,,,,34.05643,-118.31205,6,0,0,0,6,47,53,050-099 units,0.11,10-19%,82
18010-10000-03716,,18010-10000-03716,by-right,No,1540 S ST ANDREWS PL,90019,,No,N/A,,,,34.04409,-118.31142,0,0,0,0,0,48,48,020-049 units,0.00,N/A,83
18010-10000-03800,,18010-10000-03800,by-right,No,2657 N PASADENA AVE,90031,,No,N/A,,,,34.07837,-118.21526,0,0,0,21,21,0,21,020-049 units,1.00,90+%,84
18010-10000-03833,,18010-10000-03833,by-right,No,1532 W CAMBRIA ST,90017,,Yes,12/07/2018,,,,34.05260,-118.27097,7,49,0,0,56,1,57,050-099 units,0.98,90+%,86
18010-10000-03930,,18010-10000-03930,by-right,No,3641 Motor Ave,90034,,No,N/A,,,,34.02382,-118.40673,3,0,0,0,3,27,30,020-049 units,0.10,10-19%,93
18010-10000-04013,,18010-10000-04013,by-right,No,4804 W OAKWOOD AVE,90004,,No,N/A,,,,34.07712,-118.31161,0,0,0,0,0,30,30,020-049 units,0.00,N/A,95
18010-10000-04032,,18010-10000-04032,by-right,No,6753 Selma Ave,90028,,No,N/A,,,,34.09981,-118.33766,0,8,0,0,8,43,51,050-099 units,0.16,10-19%,105
18010-10000-04038,,18010-10000-04038,by-right,No,831 S WESTLAKE AVE,90057,,No,N/A,,,,34.05353,-118.27735,8,0,0,0,8,67,75,050-099 units,0.11,10-19%,89
18010-10000-04084,,18010-10000-04084,by-right,No,549 N HELIOTROPE DR,90004,,No,N/A,,,,34.08053,-118.29545,0,3,0,0,3,14,17,010-019 units,0.18,10-19%,94
18010-10000-04171,,18010-10000-04171,by-right,No,6527 S CRENSHAW BLVD,90043,,No,N/A,,,,33.97984,-118.33113,0,5,0,0,5,38,43,020-049 units,0.12,10-19%,99
18010-10000-04286,,18010-10000-04286,by-right,No,937 E 25TH ST,90011,,No,N/A,,,,34.02030,-118.25559,0,0,0,0,0,27,27,020-049 units,0.00,N/A,97
18010-10000-04501,,18010-10000-04501,by-right,No,2424 E MICHIGAN AVE Units 1-17,90033,,No,N/A,,,,34.04472,-118.20794,0,0,0,0,0,17,17,010-019 units,0.00,N/A,101
18010-10000-04650,,18010-10000-04650,by-right,No,2025 E NEW JERSEY ST,90033,,No,N/A,,,,34.04784,-118.21239,0,0,0,15,15,0,15,010-019 units,1.00,90+%,104
18010-10000-04760,,18010-10000-04760,by-right,No,5109 W ADAMS BLVD,90016,,No,N/A,,,Tier 2,34.03267,-118.35216,0,0,0,0,0,69,69,050-099 units,0.00,N/A,108
18010-10000-04774,,18010-10000-04774,by-right,No,3844 W 27TH ST,90018,,No,N/A,,,,34.03108,-118.32685,2,0,0,0,2,23,25,020-049 units,0.08,<10%,107
18010-10000-04915,,18010-10000-04915,by-right,No,925 S ST ANDREWS PL,90019,10/11/18,No,N/A,,,,34.05503,-118.31129,0,0,0,0,0,23,23,020-049 units,0.00,N/A,109
18010-10000-04923,,18010-10000-04923,by-right,No,610 N HARVARD BLVD,90004,,No,N/A,,,,34.08218,-118.30448,0,0,0,1,1,9,10,010-019 units,0.11,10-19%,110
18010-10000-05193,,18010-10000-05193,by-right,No,6001 W OLYMPIC BLVD,90036,,No,N/A,,,,34.05804,-118.36188,6,0,0,0,6,51,57,050-099 units,0.11,10-19%,115
18010-10000-05319,,18010-10000-05319,by-right,No,8101 N SAN FERNANDO ROAD,91352,,No,N/A,,,,34.21760,-118.36711,0,6,0,0,6,39,45,020-049 units,0.13,10-19%,113
18010-10000-05385,,18010-10000-05385,by-right,No,5717 W CARLTON WAY,90028,,No,N/A,,,,34.10061,-118.31425,4,0,0,0,4,35,39,020-049 units,0.10,10-19%,112
18010-10000-05399,,18010-10000-05399,by-right,No,1522 N CASSIL PL,90028,11/16/18,No,N/A,,,,34.09870,-118.33367,0,0,0,0,0,0,0,??,#DIV/0!,??,116
18010-10000-05485,,18010-10000-05485,by-right,No,837 W 82ND ST,90044,,No,N/A,,,,33.96438,-118.28851,16,0,0,0,16,1,17,010-019 units,0.94,90+%,114
18010-10000-05769,,18010-10000-05769,by-right,No,3170 W OLYMPIC BLVD,90006,12/3/18,No,N/A,,,,34.05238,-118.30549,0,0,0,28,28,224,252,200+ units,0.11,10-19%,118
18010-10000-05781,,18010-10000-05781,by-right,No,1602 W ADAMS BLVD,90007,,No,N/A,,,,34.03252,-118.29751,0,0,0,1,1,12,13,010-019 units,0.11,10-19%,117
18010-10000-05899,,18010-10000-05899,by-right,No,905 S VERMONT AVE,90006,,No,N/A,,,,34.05569,-118.29179,0,0,0,7,7,60,67,050-099 units,0.11,10-19%,120
18010-10000-05900,,18010-10000-05900,by-right,No,6200 S BROADWAY,90003,,No,N/A,,,,33.98310,-118.27810,4,0,0,0,4,14,18,010-019 units,0.22,20-29%,121
18010-10000-05928,,18010-10000-05928,by-right,No,1808 S LINCOLN BLVD,90291,12/11/18,No,N/A,,,,33.99634,-118.45710,0,0,0,0,0,0,0,??,#DIV/0!,??,122
18010-10000-06045,,18010-10000-06045,by-right,No,2432 E CINCINNATI ST,90033,,No,N/A,,,,34.04711,-118.20625,0,0,4,0,4,12,16,010-019 units,0.25,20-29%,127
18010-10000-06057,,18010-10000-06057,by-right,No,904 S NEW HAMPSHIRE AVE,90006,,No,N/A,,,,34.05568,-118.29273,0,0,0,3,3,25,28,020-049 units,0.11,10-19%,128
18010-10000-06223,,18010-10000-06223,by-right,No,1621 N MCCADDEN PL,90028,,No,N/A,,,,34.10036,-118.33708,0,0,0,8,8,61,69,050-099 units,0.11,10-19%,130
18010-20000-00087,,18010-20000-00087,by-right,No,11470 W COLLINS ST,91601,,No,N/A,,,,34.17383,-118.38134,0,0,0,0,0,14,14,010-019 units,0.00,N/A,29
18010-20000-00102,,18010-20000-00102,by-right,No,5891 W OLYMPIC BLVD,90036,,No,N/A,,,,34.05767,-118.35941,5,0,0,0,5,41,46,020-049 units,0.11,10-19%,30
18010-20000-00247,,18010-20000-00247,by-right,No,10737 W HORTENSE ST,91602,,Yes,05/15/2019,,,,34.15487,-118.36502,0,1,0,0,1,7,8,005-009 units,0.13,10-19%,33
18010-20000-00590,,18010-20000-00590,by-right,No,7306 N INDEPENDENCE AVE,91303,,No,N/A,,,,34.20310,-118.59049,0,0,0,0,0,12,12,010-019 units,0.00,N/A,38
18010-20000-00905,,18010-20000-00905,by-right,No,3524 S CHESAPEAKE AVE #1 - #27,90016,,No,N/A,,,,34.02305,-118.34505,3,0,0,0,3,21,24,020-049 units,0.13,10-19%,40
18010-20000-01220,,18010-20000-01220,by-right,No,8444 N COLUMBUS AVE 1-25,91343,,No,N/A,,,,34.22419,-118.46503,2,0,0,0,2,23,25,020-049 units,0.08,<10%,45
18010-20000-01237,,18010-20000-01237,by-right,No,724 Gramercy Dr,90005,,No,N/A,,,,34.05892,-118.31206,1,0,0,0,1,9,10,010-019 units,0.10,10-19%,46
18010-20000-01663,,18010-20000-01663,by-right,No,8802 N VAN NUYS BLVD 1-24,91402,,No,N/A,,,,34.23010,-118.45006,2,0,0,0,2,20,22,020-049 units,0.09,<10%,51
18010-20000-01788,,18010-20000-01788,by-right,No,14848 W DELANO ST,91411,,Yes,03/22/2019,,,,34.18250,-118.45687,1,0,0,0,1,9,10,010-019 units,0.10,10-19%,52
18010-20000-01941,,18010-20000-01941,by-right,No,14541 Gilmore St,91411,,No,N/A,,,,34.18781,-118.45022,3,0,0,0,3,28,31,020-049 units,0.10,10-19%,54
18010-20000-02327,,18010-20000-02327,by-right,No,9007 Ramsgate Ave,90045,,No,N/A,,,,33.95497,-118.38280,6,0,0,0,6,23,29,020-049 units,0.21,20-29%,58
18010-20000-02449,,18010-20000-02449,by-right,No,1543 W 12TH ST,90015,,No,N/A,,,,34.04610,-118.27550,2,0,0,0,2,16,18,010-019 units,0.11,10-19%,59
18010-20000-02571,,18010-20000-02571,by-right,No,11514 CUMPSTON ST,91601,,No,N/A,,,,34.16955,-118.38282,2,0,0,0,2,9,11,010-019 units,0.18,10-19%,62
18010-20000-02713,,18010-20000-02713,by-right,No,6506 S MAIN ST,90003,,No,N/A,,,,33.98027,-118.27376,0,0,0,0,0,20,20,020-049 units,0.00,N/A,64
